time,open,high,low,close,volume
2026-02-20 12:08:00,82883.62,82899.34,82883.62,82897.76,0
2026-02-20 12:09:00,82894.9,82899.53,82880.02,82892.97,0
2026-02-20 12:10:00,82893.51,82908.76,82891.4,82894.79,0
2026-02-20 12:11:00,82899.6,82915.67,82893.71,82915.67,0
2026-02-20 12:12:00,82914.5,82915.94,82898.77,82900.77,0
2026-02-20 12:13:00,82905.46,82912.08,82899.45,82911.91,0
2026-02-20 12:14:00,82912.87,82929.88,82911.72,82926.8,0
2026-02-20 12:15:00,82926.8,82970.72,82920.38,82970.72,0
2026-02-20 12:16:00,82967.69,82997.74,82963.06,82995.72,0
2026-02-20 12:17:00,82992.92,83023.98,82986.27,83005.1,0
2026-02-20 12:18:00,82999.68,83037.1,82990.97,83035.89,0
2026-02-20 12:19:00,83036.28,83044.74,83028.1,83029.34,0
2026-02-20 12:20:00,83029.52,83068.56,83029.52,83046.21,0
2026-02-20 12:21:00,83045.96,83068.63,83042.08,83066.43,0
2026-02-20 12:22:00,83066.96,83080.03,83057.31,83080.03,0
2026-02-20 12:23:00,83080.65,83085.71,83071.98,83080.19,0
2026-02-20 12:24:00,83080.57,83088.33,83072.5,83083.16,0
2026-02-20 12:25:00,83083.22,83090.78,83070.16,83082.1,0
2026-02-20 12:26:00,83083.85,83125.55,83081.1,83125.55,0
2026-02-20 12:27:00,83124.38,83131.28,83092.88,83095.93,0
2026-02-20 12:28:00,83094.51,83118.77,83090.44,83105.84,0
2026-02-20 12:29:00,83106.81,83112.53,83085.96,83088.04,0
2026-02-20 12:30:00,83095.56,83108.58,83093.75,83096.2,0
2026-02-20 12:31:00,83092.24,83113.19,83091.02,83113.19,0
2026-02-20 12:32:00,83113.89,83113.89,83094.74,83097.92,0
2026-02-20 12:33:00,83097.92,83097.92,83061.15,83063.36,0
2026-02-20 12:34:00,83062.65,83069.08,83055.34,83057.59,0
2026-02-20 12:35:00,83057.88,83074.04,83055.36,83065.5,0
2026-02-20 12:36:00,83064.86,83078.33,83059.73,83060.8,0
2026-02-20 12:37:00,83060.5,83072.51,83040.47,83042.66,0
2026-02-20 12:38:00,83040.75,83053.62,83039.27,83043.48,0
2026-02-20 12:39:00,83043.06,83044.96,83022.23,83026.38,0
2026-02-20 12:40:00,83023.25,83030.7,83018.94,83030.24,0
2026-02-20 12:41:00,83032.14,83032.94,83018.04,83018.04,0
2026-02-20 12:42:00,83018.67,83018.67,82998.66,83000.6,0
2026-02-20 12:43:00,83000.6,83005.11,82958.22,82959.62,0
2026-02-20 12:44:00,82953.32,82959.55,82937.96,82938.19,0
2026-02-20 12:45:00,82938.68,82942.02,82924.35,82934.9,0
2026-02-20 12:46:00,82934.2,82934.2,82889.25,82896.94,0
2026-02-20 12:47:00,82894.16,82920.74,82890.35,82918.9,0
2026-02-20 12:48:00,82918.25,82965.76,82915.67,82964.87,0
2026-02-20 12:49:00,82965.57,82986.75,82951.07,82954.9,0
2026-02-20 12:50:00,82952.96,82959.29,82937.66,82943.55,0
2026-02-20 12:51:00,82942.96,82960.54,82942.96,82955.41,0
2026-02-20 12:52:00,82955.1,82958.62,82947.67,82956.35,0
2026-02-20 12:53:00,82958.38,82960.81,82920.4,82922.8,0
